FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
0.425,0.917,0.393,27,41,0.413,1,0.413,27,44
0.466,0.867,0.225,23,39,0.413,0.677,0.344,18,47
0.4,0.737,0.395,22,42,0.44,0.8,0.349,20,55
0.483,0.708,0.371,28,47,0.462,0.867,0.375,22,31
0.453,0.7,0.405,25,42,0.375,0.765,0.405,24,43
0.443,0.733,0.422,24,39,0.506,0.813,0.512,33,39
0.42,0.667,0.2,16,44,0.412,0.792,0.344,22,51
0.444,0.903,0.333,22,34,0.462,0.96,0.429,25,37
0.511,1,0.389,36,51,0.451,0.76,0.405,22,34
0.319,0.929,0.156,14,49,0.465,0.739,0.303,24,46
0.5,0.773,0.465,30,45,0.488,0.654,0.357,26,42
0.397,0.842,0.235,21,60,0.333,0.571,0.389,22,39
0.4,0.794,0.289,18,33,0.469,0.88,0.344,28,47
0.486,0.767,0.375,21,44,0.467,0.857,0.333,22,34
0.561,0.8,0.5,33,43,0.474,0.759,0.467,22,30
0.442,0.727,0.294,21,42,0.512,0.913,0.5,28,41
0.561,0.625,0.345,24,51,0.36,0.667,0.229,14,35
0.488,0.882,0.333,18,39,0.456,0.75,0.324,22,38
0.42,0.722,0.4,29,48,0.367,0.688,0.121,20,56
0.409,0.889,0.241,15,49,0.437,0.652,0.395,22,42
0.394,0.727,0.377,24,70,0.354,0.65,0.417,21,44
0.414,0.857,0.324,21,35,0.483,0.727,0.25,19,49
0.455,0.75,0.41,18,39,0.397,0.857,0.333,18,45
0.512,0.867,0.323,25,36,0.435,0.81,0.448,22,49
0.475,0.733,0.439,37,55,0.45,0.692,0.359,22,37
0.536,0.739,0.394,26,46,0.365,0.933,0.281,14,36
0.494,0.75,0.375,28,50,0.38,0.667,0.25,9,38
0.415,0.778,0.333,18,48,0.5,0.9,0.378,25,38
0.4,0.909,0.243,25,54,0.417,0.6,0.257,25,48
0.447,0.789,0.455,22,37,0.464,0.778,0.36,27,44
0.544,0.765,0.485,25,32,0.463,0.893,0.2,24,33
0.404,0.824,0.265,20,53,0.368,0.824,0.273,23,47
0.624,0.905,0.531,34,38,0.435,0.762,0.372,21,30
0.478,0.864,0.485,22,43,0.351,0.75,0.233,14,36
0.444,0.769,0.333,25,36,0.447,0.867,0.464,23,45
0.513,0.806,0.483,25,44,0.452,0.864,0.267,17,34
0.645,0.857,0.52,28,34,0.456,0.833,0.415,19,25
0.475,0.867,0.465,28,40,0.466,0.652,0.167,16,37
0.396,0.952,0.311,17,49,0.421,0.778,0.184,27,52
0.435,0.944,0.25,21,47,0.43,0.9,0.176,18,37
0.505,1,0.393,27,51,0.471,0.72,0.41,16,36
0.333,0.75,0.36,21,48,0.411,0.714,0.353,22,54
0.432,0.75,0.4,26,46,0.484,0.65,0.368,31,52
0.452,0.692,0.387,22,37,0.465,0.792,0.469,24,55
0.393,0.8,0.2,15,37,0.58,0.957,0.4,32,47
0.506,0.895,0.333,25,36,0.6,0.944,0.4,23,32
0.429,0.75,0.257,20,48,0.45,0.818,0.395,22,37
0.494,0.8,0.389,23,51,0.424,0.636,0.288,24,37
0.451,0.714,0.419,28,37,0.444,0.69,0.207,26,50
0.451,0.762,0.226,19,33,0.419,0.857,0.32,15,42
0.415,0.667,0.25,24,53,0.446,0.875,0.424,23,42
0.5,0.8,0.37,28,40,0.4,0.8,0.2,14,47
0.506,0.586,0.371,28,38,0.472,0.818,0.4,26,45
0.383,0.8,0.27,21,37,0.512,0.846,0.258,24,40
0.435,0.762,0.279,16,49,0.377,0.762,0.1,12,40
0.389,0.941,0.25,27,44,0.523,0.667,0.515,21,51
0.562,0.806,0.484,28,33,0.5,0.719,0.353,26,36
0.4,0.55,0.357,18,41,0.435,0.81,0.31,22,48
0.471,0.762,0.25,20,48,0.506,0.667,0.259,33,39
0.42,0.8,0.235,19,46,0.425,0.84,0.419,24,41
0.405,0.619,0.286,17,46,0.429,0.783,0.341,15,43
0.506,0.813,0.414,25,33,0.5,0.929,0.308,26,34
0.473,0.775,0.5,23,34,0.488,0.76,0.469,31,39
0.513,0.81,0.375,23,36,0.441,0.824,0.311,30,45
0.393,0.6,0.265,22,43,0.473,0.714,0.366,27,55
0.481,0.774,0.344,17,45,0.506,0.815,0.154,26,35
0.388,0.739,0.343,21,41,0.422,0.645,0.378,22,48
0.565,0.939,0.321,20,32,0.494,0.839,0.429,24,32
0.5,0.815,0.423,25,44,0.554,0.643,0.45,29,30
0.52,0.806,0.355,27,36,0.461,0.794,0.476,16,36
0.442,0.667,0.371,23,32,0.514,0.75,0.419,18,46
0.463,0.645,0.389,27,44,0.494,0.933,0.48,25,43
0.481,0.862,0.389,21,34,0.471,0.786,0.3,21,40
0.478,0.781,0.324,29,48,0.395,0.893,0.289,16,40
0.5,0.833,0.371,26,33,0.548,0.8,0.567,32,43
0.522,0.867,0.467,20,41,0.427,0.833,0.344,16,35
0.47,0.769,0.468,22,31,0.463,0.85,0.379,19,50
0.548,0.708,0.425,27,35,0.425,0.905,0.361,20,47
0.524,0.611,0.474,35,40,0.387,0.852,0.278,16,38
0.472,0.792,0.364,24,43,0.538,0.792,0.458,20,29
0.405,0.652,0.263,19,58,0.323,0.895,0.189,17,53
0.382,0.765,0.281,17,34,0.434,0.87,0.318,15,53
0.453,0.744,0.259,25,35,0.5,0.889,0.39,32,46
0.512,0.853,0.5,29,39,0.488,0.826,0.4,27,35
